"country","prevalence","cases","pop2022"
"Ivory Coast","3.8000","843736","27742.2980"
"Malaysia","3.8000","1127643","33181.0720"
"DR Congo","3.8000","2871309","95240.7920"
"Maldives","3.7000","12739","540.9850"
"Guatemala","3.7000","580994","18584.0390"
"North Korea","3.7000","874632","25990.6790"
"Iraq","3.7000","1263249","42164.9650"
"Myanmar","3.7000","1917983","55227.1430"
"Indonesia","3.7000","9162886","279134.5050"
"Mali","3.6000","605969","21473.7640"
"Burkina Faso","3.6000","640502","22102.8380"
"Yemen","3.6000","915231","31154.8670"
"Angola","3.6000","892128","35027.3430"
"Sudan","3.6000","1376305","45992.0200"
"Fiji","3.5000","30568","909.4660"
"Liberia","3.5000","155406","5305.1170"
"Chad","3.5000","478228","17413.5800"
"Egypt","3.5000","2995824","106156.6920"
"Cambodia","3.4000","508823","17168.6390"
"Niger","3.4000","653348","26083.6600"
"Afghanistan","3.3000","1038610","40754.3880"
"Philippines","3.3000","3298652","112508.9940"
"Tonga","3.2000","3205","107.7490"
"Samoa","3.2000","5803","202.2390"
"Laos","3.2000","209326","7481.0230"
"Nepal","3.2000","890361","30225.5820"
"Micronesia","3.1000","3182","117.4890"
"Kiribati","3.1000","3452","123.4190"
"Vanuatu","3.1000","7917","321.8320"
"Timor-Leste","3","33932","1369.4290"
"Papua New Guinea","3","223094","9292.1690"
"Solomon Islands","2.9000","16535","721.1590"
